delta,Prime,Last factor
9,0,3
56,0,7
61,1
65,0,13
112,0,7
128,0,2
149,1
187,0,17
259,0,37
301,0,43
327,0,109
329,0,47
352,0,11
387,0,43
399,0,19
439,1
499,1
523,1
525,0,7
541,1
562,0,281
565,0,113
651,0,31
705,0,47
712,0,89
735,0,7
749,0,107
751,1
840,0,7
859,1
896,0,7
922,0,461
985,0,197
989,0,43
999,0,37
1048,0,131
1051,1
1108,0,277
1143,0,127
1148,0,41
1213,1
1216,0,19
1241,0,73
1339,0,103
1363,0,47
1381,1
1388,0,347
1407,0,67
1449,0,23
1458,0,3
1493,1
1540,0,11
1552,0,97
1556,0,389
1603,0,229
1664,0,13
1675,0,67
1685,0,337
1699,1
1706,0,853
1720,0,43
1736,0,31
1745,0,349
1878,0,313
1930,0,193
1955,0,23
1988,0,71
2011,1
2042,0,1021
2063,1
2074,0,61
2158,0,83
2371,1
2398,0,109
2436,0,29
2438,0,53
2464,0,11
2508,0,19
2513,0,359
2536,0,317
2611,0,373
2639,0,29
2646,0,7
2672,0,167
2681,0,383
2723,0,389
2728,0,31
2739,0,83
2774,0,73
2830,0,283
2837,1
2893,0,263
2905,0,83
2910,0,97
3012,0,251
3038,0,31
3113,0,283
3218,0,1609
3267,0,11
3299,1
3355,0,61
3369,0,1123
3409,0,487
3428,0,857
3435,0,229
3505,0,701
3509,0,29
3633,0,173
3649,0,89
3719,1
3729,0,113
3752,0,67
3820,0,191
3864,0,23
3887,0,23
3943,1
4009.0,0,211
4048.0,0,23
4069.0,0,313
4158.0,0,11
4163.0,0,181
4186.0,0,23
4237.0,0,223
4291.0,0,613
4307.0,0,73
4337.0,1
4340.0,0,31
4454.0,0,131
4464.0,0,31
4471.0,0,263
4503.0,0,79
4531.0,0,197
4564.0,0,163
4569.0,0,1523
4580.0,0,229
4615.0,0,71
4657.0,1
4755.0,0,317
4772.0,0,1193
4909.0,1
4944.0,0,103
4986.0,0,277
4989.0,0,1663
5010.0,0,167
5024.0,0,157
